doc_id,doc_id_cont,txt,update_dt
1143,NULL,"<br>This is the number of analysts that revised their next fiscal year estimate downward, as of last week.  <br><br>  A revision looks at the value today and the value one weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",24:02.9
1147,NULL,"<br>This is the number of analysts that revised their next fiscal year estimates upwards as of four weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",40:03.4
1148,NULL,"<br>This is the number of analysts that revised their next fiscal year estimates upwards as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",40:28.3
1149,NULL,"<br>This is the number of analysts that revised their next fiscal quarter estimates downward, as of four weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",41:12.5
1150,NULL,"<br>This is the number of analysts that revised their next fiscal quarter estimates downward, as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",41:33.6
1151,NULL,"<br>This is the number of analysts that revised their next fiscal quarter estimates upwards as of four weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",50:21.2
1152,NULL,"<br>This is the number of analysts that revised their next fiscal quarter estimates upwards as of last week.  <br><br>  A revision looks at the value today and the value one weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",50:47.8
1176,NULL,"<br>Users can use the Screen function to use the output of a screen as the input for another screen or ranking system. It is possible to use this with multiple screens, for instance, to create a screen of screens.  <br>  <br>The general syntax is Screen(""Screen Name"",number of top results). If using multiple screens in a rule, linking screens by an ""or"" will return only unique results, while ""and"" will return only commonalities. Users can also use an exclamation point ahead of the function -- !Screen(""Screen Name"",x) -- to filter screen results.  <br>  <br>For example, if the top two results of Screen1 are GOOG and YHOO and the top two results of Screen2 are GOOG and EBAY,then a rule that stated 'Screen(""Screen1"",2) or Screen(""Screen2"",2)' would return GOOG, YHOO, EBAY; while the rule 'Screen(""Screen1"",2) and Screen(""Screen2"",2)' would return only GOOG.  <br>  <br> Finally, note that there is a limit of five calls to Screen in a single screen, ranking system or buy/sell system.",10:04.7
534,NULL,"<br>This is the Average Monthly Volume divided by the most recent Shares Outstanding, multiplied by 100.                                         <br>  ",NULL
547,NULL,<br>This is the percentage change in the company's stock price over the last fifty two weeks.                                                                                     <br>  ,NULL
592,NULL,"<br>This is the Average Daily Volume divided by the most recent Shares Outstanding, multiplied by 100 ( Vol10DAvg / ShsOutMR)  * 100.",NULL
602,NULL,<br>This is the percentage change in the company's stock price over the last twenty six weeks.                                                                                     <br>  ,NULL
610,NULL,"<p>The sustainable growth rate is the rate of growth that a company can expect to see in the long term. It can be calculated by multiplying a company&rsquo;s earnings retention rate by its return on equity.&nbsp;</p>  <p>The sustainable growth rate is an indicator of what stage a company is in during its life cycle. The position often determines corporate finance objectives, such as financing sources, dividend payout policies, and overall competitive strategy.</p>  <p>Creditors can also use the growth ratio to determine the likelihood of a company defaulting on its loans. A high growth rate may indicate that the company is focusing on investing in&nbsp;R&amp;D&nbsp;and NPV-positive projects, which may delay debt repayment. A high-growth-rate company is generally considered riskier, as it likely sees greater earnings volatility from period to period.</p>  <p>&nbsp;</p>  <p><strong>How to Calculate the Sustainable Growth Rate?</strong></p>  <p>The sustainable growth rate is calculated as the trailing twelve-month Retention Rate multiplied by the trailing twelve-month Return on Equity, divided by 100</p>  <p><strong>Sustainable Growth Rate </strong>= <strong>Retention Rate</strong> * <strong>Return on Equity / 100</strong></p>  <p>Where:</p>  <p><strong>Retention Rate&nbsp;</strong>&ndash; [ (Net Income &ndash; Dividends) / Net Income) ]. This represents the percentage of earnings the company has not paid out in dividends. In other words, how much profit the company retains, where Net Income &ndash; Dividends is equal to Retained Earnings.</p>  <p><strong>Return on Equity&nbsp;</strong>&ndash; (Net Income / Total Shareholder&rsquo;s Equity). This represents how much return investors have realized relative to the company&#39;s profit.</p>  <p>A very high growth rate signifies that a company is still growing quickly. As such, the company may be spending a lot of its earnings on research and development and may not have a lot of cash left over to make debt payments. Therefore, a growing company could benefit more from&nbsp;equity financing&nbsp;and issuing stock to finance its operations.</p>",46:23.8
1121,NULL,"<p>These factors return the difference in days to/from either the dividend ex-date or pay-date. Below is an example showing two Microsoft dividends ex-dates and related factors <i>DaysFromDivEx</i> and <i>DaysToDivEx</i> values at different Point In Time (PIT) dates.</p> <p>&nbsp;</p> <p>Please note the following:</p> <ul>     <li>Historically, the factors are evaluated weekly on Saturdays to or from the dividend ex-date. Therefore, only weekend PIT values are shown.</li>     <li>The factors related to the pay-date work in a similar fashion.</li> </ul> <p>&nbsp;</p> <figure class=""table"" style=""float:left;width:480px;"">     <table class=""ck-table-resized"" style=""padding:5px;text-align:left;"" border=""1"" bordercolor=""gray"">         <colgroup>             <col style=""width:25%;"">             <col style=""width:25%;"">             <col style=""width:25%;"">             <col style=""width:25%;"">         </colgroup>         <tbody>             <tr>                 <td style=""background-color:hsl(0, 0%, 90%);"">PIT Dates (<strong>weekends</strong>)</td>                 <td style=""background-color:hsl(0, 0%, 90%);"">DaysFromDivEx</td>                 <td style=""background-color:hsl(0, 0%, 90%);"">DaysToDivEx</td>                 <td style=""background-color:hsl(0, 0%, 90%);"">Comment</td>             </tr>             <tr>                 <td><strong>2024-08-24</strong></td>                 <td>                     <p style=""text-align:center;"">9</p>                 </td>                 <td>                     <p style=""text-align:center;"">N/A</p>                 </td>                 <td>Next dividend not yet announced</td>             </tr>             <tr>                 <td><strong>2024-08-17</strong></td>                 <td>                     <p style=""text-align:center;"">2</p>                 </td>                 <td>                     <p style=""text-align:center;"">N/A</p>                 </td>                 <td>Next dividend not yet announced</td>             </tr>             <tr>                 <td><i>2024-08-15</i></td>                 <td style=""text-align:left;"" colspan=""3"">                     <p style=""text-align:center;""><i>0.75 Dividend Ex Date</i></p>                 </td>             </tr>             <tr>                 <td><strong>2024-08-10</strong></td>                 <td>                     <p style=""text-align:center;"">87</p>                 </td>                 <td>                     <p style=""text-align:center;"">5</p>                 </td>                 <td>&nbsp;</td>             </tr>             <tr>                 <td><strong>2024-08-03</strong></td>                 <td>                     <p style=""text-align:center;"">80</p>                 </td>                 <td>                     <p style=""text-align:center;"">12</p>                 </td>                 <td>&nbsp;</td>             </tr>             <tr>                 <td><strong>2024-07-27</strong></td>                 <td>                     <p style=""text-align:center;"">73</p>                 </td>                 <td>                     <p style=""text-align:center;"">19</p>                 </td>                 <td>&nbsp;</td>             </tr>             <tr>                 <td>                     <p style=""text-align:center;"">...</p>                 </td>                 <td>                     <p style=""text-align:center;"">...</p>                 </td>                 <td>                     <p style=""text-align:center;"">...</p>                 </td>                 <td>                     <p style=""text-align:center;"">...</p>                 </td>             </tr>             <tr>                 <td><strong>2024-05-18</strong></td>                 <td>                     <p style=""text-align:center;"">3</p>                 </td>                 <td>                     <p style=""text-align:center;"">N/A</p>                 </td>                 <td>Next dividend not yet announced</td>             </tr>             <tr>                 <td><i>2024-05-15</i></td>                 <td style=""text-align:left;"" colspan=""3"">                     <p style=""text-align:center;""><i>0.75 Dividend Ex Date</i></p>                 </td>             </tr>         </tbody>     </table> </figure> <p>&nbsp;</p>",55:04.1
1210,NULL,"<br>StdDev(x1,x2 [,..,x20]: Calculates the SD of the parameters. <br>RelStdDev(x1,x2 [,..,x20]: Calculates the RSD of the parameters. <br> <br>Stdandard Deviation assumes that its arguments are a sample of the population. The standard deviation is calculated using the 'unbiased' or 'n-1' method. N/A values are skipped <br> <br><u>Relative Standard Deviation</u> <br>Relative SD is calculated as follows: RSD = 100 * (SD/Abs(mean))",11:22.2
